name,last_name,first_name,display,position,proj
BEARS,BEARS,BEARS,Chicago Bears,DEF,114.1259828135
BENGALS,BENGALS,BENGALS,Cincinnati Bengals,DEF,113.88355805799999
MALACHICORLEY,CORLEY,MALACHI,Malachi Corley,WR,113.73982071150002
LIONS,LIONS,LIONS,Detroit Lions,DEF,113.6822396205
JALENTOLBERT,TOLBERT,JALEN,Jalen Tolbert,WR,113.12309982400001
NOAHFANT,FANT,NOAH,Noah Fant,TE,110.784922799
ROMANWILSON,WILSON,ROMAN,Roman Wilson,WR,110.233633698
BLAKECORUM,CORUM,BLAKE,Blake Corum,RB,109.53718277600001
RICODOWDLE,DOWDLE,RICO,Rico Dowdle,RB,109.45484585700001
JAGUARS,JAGUARS,JAGUARS,Jacksonville Jaguars,DEF,108.64573412549998
LUKEMCCAFFREY,MCCAFFREY,LUKE,Luke McCaffrey,WR,107.90661844050001
TEXANS,TEXANS,TEXANS,Houston Texans,DEF,105.7974759965
LUKEMUSGRAVE,MUSGRAVE,LUKE,Luke Musgrave,TE,105.34710496599999
BILLS,BILLS,BILLS,Buffalo Bills,DEF,104.80798052499999
SEAHAWKS,SEAHAWKS,SEAHAWKS,Seattle Seahawks,DEF,103.760934843
JUWANJOHNSON,JOHNSON,JUWAN,Juwan Johnson,TE,102.979393915
EAGLES,EAGLES,EAGLES,Philadelphia Eagles,DEF,102.82350648349998
ZAYJONES,JONES,ZAY,Zay Jones,WR,101.505142588
PACKERS,PACKERS,PACKERS,Green Bay Packers,DEF,100.114695316
PANTHERS,PANTHERS,PANTHERS,Carolina Panthers,DEF,99.65501388499999
COLTS,COLTS,COLTS,Indianapolis Colts,DEF,98.8293740715
JALINHYATT,HYATT,JALIN,Jalin Hyatt,WR,98.44394248699999
TIMPATRICK,PATRICK,TIM,Tim Patrick,WR,97.728890146
RAIDERS,RAIDERS,RAIDERS,Las Vegas Raiders,DEF,97.16430801400001
ODELLBECKHAM,BECKHAM,ODELL,Odell Beckham Jr.,WR,96.97072498899999
KENDREMILLER,MILLER,KENDRE,Kendre Miller,RB,96.61247938000002
VIKINGS,VIKINGS,VIKINGS,Minnesota Vikings,DEF,96.0160617965
BUCCANEERS,BUCCANEERS,BUCCANEERS,Tampa Bay Buccaneers,DEF,95.17197291349999
KHALILHERBERT,HERBERT,KHALIL,Khalil Herbert,RB,93.597354018
TRETUCKER,TUCKER,TRE,Tre Tucker,WR,93.36254977799999
CLYDEEDWARDSHELAIRE,EDWARDSHELAIRE,CLYDE,Clyde Edwards-Helaire,RB,93.103141856
FALCONS,FALCONS,FALCONS,Atlanta Falcons,DEF,93.02015139050002
TITANS,TITANS,TITANS,Tennessee Titans,DEF,91.468886561
RAYRAYMCCLOUD,MCCLOUD,RAYRAY,Ray-Ray McCloud,WR,90.898182472
PATRIOTS,PATRIOTS,PATRIOTS,New England Patriots,DEF,90.67499460249999
TUCKERKRAFT,KRAFT,TUCKER,Tucker Kraft,TE,89.643156061
GIANTS,GIANTS,GIANTS,New York Giants,DEF,89.521644957
TREYLONBURKS,BURKS,TREYLON,Treylon Burks,WR,88.526166194
GREGDORTCH,DORTCH,GREG,Greg Dortch,WR,88.50759562900001
JONATHANMINGO,MINGO,JONATHAN,Jonathan Mingo,WR,88.068143128
RAMS,RAMS,RAMS,Los Angeles Rams,DEF,87.327000015
CHARGERS,CHARGERS,CHARGERS,Los Angeles Chargers,DEF,87.021530652
JONNUSMITH,SMITH,JONNU,Jonnu Smith,TE,86.72943997015
COMMANDERS,COMMANDERS,COMMANDERS,Washington Commanders,DEF,86.02913825699999
BRONCOS,BRONCOS,BRONCOS,Denver Broncos,DEF,85.271438045
BENSINNOTT,SINNOTT,BEN,Ben Sinnott,TE,85.048824346
ELIJAHMOORE,MOORE,ELIJAH,Elijah Moore,WR,84.8420827985
COLBYPARKINSON,PARKINSON,COLBY,Colby Parkinson,TE,84.157427602
HAYDENHURST,HURST,HAYDEN,Hayden Hurst,TE,84.04866958299999
ANDREIIOSIVAS,IOSIVAS,ANDREI,Andrei Iosivas,WR,83.930664882
AIDANOCONNELL,OCONNELL,AIDAN,Aidan O'Connell,QB,80.2686094955
DAWSONKNOX,KNOX,DAWSON,Dawson Knox,TE,80.19726886000001
JAVONBAKER,BAKER,JAVON,Javon Baker,WR,79.26703480100001
KALIFRAYMOND,RAYMOND,KALIF,Kalif Raymond,WR,78.37218558699999
ZACHERTZ,ERTZ,ZACH,Zach Ertz,TE,78.062756597
JAMAALWILLIAMS,WILLIAMS,JAMAAL,Jamaal Williams,RB,77.97876994399999
MARSHAWNLLOYD,LLOYD,MARSHAWN,MarShawn Lloyd,RB,77.965509863
ALEXANDERMATTISON,MATTISON,ALEXANDER,Alexander Mattison,RB,77.9155372915
BRAELONALLEN,ALLEN,BRAELON,Braelon Allen,RB,77.2489217425
ISAIAHLIKELY,LIKELY,ISAIAH,Isaiah Likely,TE,77.171698097
