name,last_name,first_name,display,position,proj
J.J.MCCARTHY,MCCARTHY,J.J.,J.J. McCarthy,QB,218.40096782
DEMARCUSROBINSON,ROBINSON,DEMARCUS,Demarcus Robinson,WR,153.458851846
WANDALEROBINSON,ROBINSON,WANDALE,Wan'Dale Robinson,WR,134.246119442
TYLERBOYD,BOYD,TYLER,Tyler Boyd,WR,130.746480684
DARIUSSLAYTON,SLAYTON,DARIUS,Darius Slayton,WR,127.72942914400001
JERMAINEBURTON,BURTON,JERMAINE,Jermaine Burton,WR,123.754346798
TUCKERKRAFT,KRAFT,TUCKER,Tucker Kraft,TE,90.41981713000001
LUKEMUSGRAVE,MUSGRAVE,LUKE,Luke Musgrave,TE,79.963094462
DJCHARK,CHARK,DJ,DJ Chark Jr.,WR,122.648925754
ZAYJONES,JONES,ZAY,Zay Jones,WR,121.88170020800001
RASHODBATEMAN,BATEMAN,RASHOD,Rashod Bateman,WR,121.45306622600002
SAMAJEPERINE,PERINE,SAMAJE,Samaje Perine,RB,101.93202541999999
ELIJAHMITCHELL,MITCHELL,ELIJAH,Elijah Mitchell,RB,73.37963679599999
NOAHFANT,FANT,NOAH,Noah Fant,TE,103.26249919
CADEOTTON,OTTON,CADE,Cade Otton,TE,109.56782579600001
HAYDENHURST,HURST,HAYDEN,Hayden Hurst,TE,99.26368631
DANIELJONES,JONES,DANIEL,Daniel Jones,QB,224.429263094
BAKERMAYFIELD,MAYFIELD,BAKER,Baker Mayfield,QB,245.965432086
GENOSMITH,SMITH,GENO,Geno Smith,QB,227.667357744
JAMAALWILLIAMS,WILLIAMS,JAMAAL,Jamaal Williams,RB,77.05984435800002
TANKBIGSBY,BIGSBY,TANK,Tank Bigsby,RB,74.42624933799999
KENNETHGAINWELL,GAINWELL,KENNETH,Kenneth Gainwell,RB,74.26364772400001
MIKEWILSON,WILSON,MIKE,Michael Wilson,WR,119.62545419599999
BRAELONALLEN,ALLEN,BRAELON,Braelon Allen,RB,74.74626277000003
JUSTICEHILL,HILL,JUSTICE,Justice Hill,RB,69.452730812
JALINHYATT,HYATT,JALIN,Jalin Hyatt,WR,118.11437882
TREYPALMER,PALMER,TREY,Trey Palmer,WR,107.451380463
MALACHICORLEY,CORLEY,MALACHI,Malachi Corley,WR,107.26398846699999
RONDALEMOORE,MOORE,RONDALE,Rondale Moore,WR,106.980470681
ODELLBECKHAM,BECKHAM,ODELL,Odell Beckham Jr.,WR,99.09761413999999
ELIJAHMOORE,MOORE,ELIJAH,Elijah Moore,WR,105.09512222599999
JALENMCMILLAN,MCMILLAN,JALEN,Jalen McMillan,WR,96.79854973799999
LUKEMCCAFFREY,MCCAFFREY,LUKE,Luke McCaffrey,WR,95.936145988
CHASEEDMONDS,EDMONDS,CHASE,Chase Edmonds,RB,65.974517764
ERICGRAY,GRAY,ERIC,Eric Gray,RB,65.795471918
TYJOHNSON,JOHNSON,TY,Ty Johnson,RB,60.13701269
TREYSERMON,SERMON,TREY,Trey Sermon,RB,60.089829933000004
