name,last_name,first_name,display,position,proj
DEVINCULP,CULP,DEVIN,Devin Culp,TE,32.5
DALLINHOLKER,HOLKER,DALLIN,Dallin Holker,TE,32.5
BUBMEANS,MEANS,BUB,Bub Means,WR,32.5
DAVISALLEN,ALLEN,DAVIS,Davis Allen,TE,32.2
OLAMIDEZACCHEAUS,ZACCHEAUS,OLAMIDE,Olamide Zaccheaus,WR,32.2
MIKEPENIX,PENIX,MIKE,Michael Penix Jr.,QB,32.16
PAYNEDURHAM,DURHAM,PAYNE,Payne Durham,TE,32.1
ANTOINEGREEN,GREEN,ANTOINE,Antoine Green,WR,32.1
PEYTONHENDERSHOT,HENDERSHOT,PEYTON,Peyton Hendershot,TE,32.1
BRENTONSTRANGE,STRANGE,BRENTON,Brenton Strange,TE,32.1
ADAMTRAUTMAN,TRAUTMAN,ADAM,Adam Trautman,TE,32.1
CHASECLAYPOOL,CLAYPOOL,CHASE,Chase Claypool,WR,31.8
CHRISMOORE,MOORE,CHRIS,Chris Moore,WR,31.8
SKYYMOORE,MOORE,SKYY,Skyy Moore,WR,31.8
AINIASSMITH,SMITH,AINIAS,Ainias Smith,WR,31.7
JAMARITHRASH,THRASH,JAMARI,Jamari Thrash,WR,31.7
JUSTINWATSON,WATSON,JUSTIN,Justin Watson,WR,31.4
KAYSHONBOUTTE,BOUTTE,KAYSHON,Kayshon Boutte,WR,31.3
BRENDENRICE,RICE,BRENDEN,Brenden Rice,WR,31.2
JASONBROWNLEE,BROWNLEE,JASON,Jason Brownlee,WR,31.1
MASONTIPTON,TIPTON,MASON,Mason Tipton,WR,31.1
JACOBCOWING,COWING,JACOB,Jacob Cowing,WR,31.0
RONNIEBELL,BELL,RONNIE,Ronnie Bell,WR,30.8
JAREDWILEY,WILEY,JARED,Jared Wiley,TE,30.8
DREWSAMPLE,SAMPLE,DREW,Drew Sample,TE,30.6
DYAMIBROWN,BROWN,DYAMI,Dyami Brown,WR,30.5
TANNERMCLACHLAN,MCLACHLAN,TANNER,Tanner McLachlan,TE,30.3
CRAIGREYNOLDS,REYNOLDS,CRAIG,Craig Reynolds,RB,30.3
HARRISONBRYANT,BRYANT,HARRISON,Harrison Bryant,TE,30.2
TIPREIMAN,REIMAN,TIP,Tip Reiman,TE,30.1
